Return Period (years),30 mins,60 mins,180 mins,1440 mins
2,38.61880703363963,28.11104813603532,17.930756764972898,2.5746008604282737
5,48.792086047874626,35.15169804252154,23.966352500518,3.495500848199738
10,56.63888265876248,41.52961936005812,28.87812981214258,4.103611995296421
25,68.02923504608721,52.27036835766772,36.36800516878591,4.870138626524427
50,77.6921133492084,62.770261999578416,43.029180292038234,5.437479547166953
100,88.44394747712114,75.96338209913732,50.746462683868074,5.999528245074889
