Return Period (years),5 mins,10 mins,15 mins,30 mins,60 mins,180 mins,1440 mins
2,80.22164093274954,60.62245876193358,51.59930114384445,39.42347334564964,29.296094394349208,18.595999771467003,2.573286395869509
5,99.47570656943064,75.14767323469923,64.00042387622811,48.78923785099842,35.544518496722496,24.068418488820633,3.4959052684392917
10,112.2235733724446,84.76462909628447,72.21104618235971,54.99018889559882,39.6815189458145,27.691635850573103,4.106759241797505
25,128.3305368719925,96.91567832145317,82.58518923209473,62.82510697885395,44.90862998021784,32.26958059211037,4.878574856478099
50,140.27960251838496,105.93002077452711,90.28132117712767,68.63749678861237,48.78639954819512,35.66576151992593,5.451151769996777
100,152.14043813969937,114.87780273791651,97.92062609194681,74.40696882439127,52.635536274379234,39.03686558087189,6.019500865463916
