Return Period (years),3h,6h,9h,12h,15h,18h,24h
2,5.673480845308185,3.848209180303584,2.764122135103546,2.2547468325272413,1.8824992951964783,1.6307864733928321,1.3200988901678674
5,8.463402072748417,5.158686956786181,3.73483193482471,3.0401920253650574,2.5546762833284475,2.223471702638274,1.8321334059779104
10,10.31057268436995,6.026337273251485,4.377526286486783,3.560225086864999,2.9997159375214246,2.615880895642202,2.1711448090374734
25,12.644477648908115,7.122615748201793,5.1895723035615084,4.217288238651095,3.5620247203715025,3.111690951259268,2.599486615505038
50,14.375901677682412,7.935897746653947,5.791994427768209,4.704735219873719,3.9791774978026564,3.479511174039069,2.9172550368911616
100,16.094541143211334,8.743174598491096,6.3899683615724765,5.188582969101958,4.393250084606082,3.8446154700309148,3.232677106134149
