Return Period (years),5 mins,10 mins,15 mins,30 mins,60 mins,180 mins,1440 mins
2,65.57309981537453,53.61281350009764,45.85974015774325,33.002557912174055,22.305962499753665,11.08822615174092,2.6732033345181008
5,78.76145240014962,64.3956602694568,55.08325443950486,39.64017869219946,26.79223658192765,13.318339360367913,3.210849842090328
10,90.47315080922917,73.97118902047296,63.27404376254238,45.53460805551805,30.77619808835168,15.29875451454689,3.68829793175165
25,108.66951205625203,88.84860254314904,76.00000000000001,54.69273032725043,36.966043508971815,18.375707856905997,4.430104765630084
50,124.82848973734717,102.06024358510068,87.30107497977467,62.82544935720902,42.46283336950474,21.10814538713401,5.088854056743802
100,143.39028081805495,117.23643391680184,100.28260121873997,72.16749032857552,48.77698684006331,24.246891883239087,5.845558283801594
