b650nm,date
1243.0,2023-02-03
2819.0,2023-02-04
9224.0,2023-02-05
10039.0,2023-02-06
7254.0,2023-02-07
5061.0,2023-02-08
5809.0,2023-02-09
1349.0,2023-02-10
2294.0,2023-02-11
3771.0,2023-02-12
1402.0,2023-02-13
2009.0,2023-02-14
1487.0,2023-02-15
2233.0,2023-02-16
1790.0,2023-02-17
1063.0,2023-02-18
1924.0,2023-02-19
1349.0,2023-02-20
3115.0,2023-02-21
1626.0,2023-02-22
6658.0,2023-02-23
2448.0,2023-02-24
1236.0,2023-02-25
1900.0,2023-02-26
1531.0,2023-02-27
1741.0,2023-02-28
1445.0,2023-03-01
1903.0,2023-03-02
2337.0,2023-03-03
1531.0,2023-03-04
1927.0,2023-03-05
4040.0,2023-03-06
2823.0,2023-03-07
1841.0,2023-03-08
1412.0,2023-03-09
2109.0,2023-03-10
1584.0,2023-03-11
2082.0,2023-03-12
1794.0,2023-03-13
9186.0,2023-03-14
2123.0,2023-03-15
1329.0,2023-03-16
4131.0,2023-03-17
4308.0,2023-03-18
5099.0,2023-03-19
1926.0,2023-03-20
1456.0,2023-03-21
2673.0,2023-03-22
5294.0,2023-03-23
2052.0,2023-03-24
7298.0,2023-03-25
2443.0,2023-03-26
1946.0,2023-03-27
1286.0,2023-03-28
2537.0,2023-03-29
647.0,2023-03-30
2289.0,2023-03-31
1819.0,2023-04-01
1328.0,2023-04-02
2120.0,2023-04-03
1504.0,2023-04-04
2257.0,2023-04-05
1749.0,2023-04-06
1911.0,2023-04-07
5446.0,2023-04-08
4987.0,2023-04-09
2218.0,2023-04-10
7283.0,2023-04-11
8309.0,2023-04-12
5478.0,2023-04-13
1193.0,2023-04-14
2165.0,2023-04-15
1694.0,2023-04-16
2178.0,2023-04-17
1847.0,2023-04-18
1917.0,2023-04-19
7023.0,2023-04-20
1110.0,2023-04-21
2200.0,2023-04-22
1543.0,2023-04-23
2255.0,2023-04-24
1987.0,2023-04-25
1353.0,2023-04-26
2273.0,2023-04-27
1966.0,2023-04-28
9197.0,2023-04-29
3947.0,2023-04-30
1950.0,2023-05-01
2069.0,2023-05-02
1347.0,2023-05-03
2262.0,2023-05-04
1477.0,2023-05-05
2303.0,2023-05-06
4381.0,2023-05-07
1056.0,2023-05-08
2345.0,2023-05-09
1399.0,2023-05-10
2079.0,2023-05-11
1887.0,2023-05-12
2955.0,2023-05-13
1985.0,2023-05-14
1147.0,2023-05-15
2211.0,2023-05-16
1763.0,2023-05-17
2303.0,2023-05-18
1628.0,2023-05-19
1151.0,2023-05-20
2239.0,2023-05-21
2065.0,2023-05-22
1979.0,2023-05-23
1775.0,2023-05-24
2052.0,2023-05-25
2082.0,2023-05-26
1182.0,2023-05-27
3436.0,2023-05-28
5657.0,2023-05-29
2355.0,2023-05-30
1931.0,2023-05-31
1432.0,2023-06-01
3677.0,2023-06-02
3538.0,2023-06-03
3939.0,2023-06-04
2062.0,2023-06-05
1543.0,2023-06-06
2317.0,2023-06-07
3766.0,2023-06-08
2630.0,2023-06-09
1472.0,2023-06-10
2144.0,2023-06-11
2084.0,2023-06-12
1599.0,2023-06-13
2428.0,2023-06-14
1669.0,2023-06-15
2352.0,2023-06-16
1961.0,2023-06-17
2258.0,2023-06-18
