date,meteostat_value,evapotranspiration_value,runoff_value,radio-temp-min_value,sat_value,soil-moist_value,soil-temp_value
2022-10-21,0.1,1.38951926e-08,3.39722101e-06,310.609589,297.279816,0.358952552,301.590912
2022-10-23,5.2,1.77953901e-08,4.6471834e-07,312.784149,298.149963,0.35885942,302.569794
2022-10-24,4.1,1.61654494e-08,6.46929357e-06,312.040314,299.609131,0.358690828,302.382965
2022-10-26,1.0,1.54997206e-08,4.62221396e-06,310.455475,298.253387,0.358553201,302.216339
2022-10-28,0.0,1.6402586e-08,0.0,311.89328,298.795258,0.35825491,302.123566
2022-10-31,0.6,1.49029749e-08,2.05183878e-05,310.207031,295.729156,0.360196471,301.225983
2022-11-01,1.9,1.53122421e-08,5.48809767e-05,310.168091,295.729218,0.361207962,300.832123
2022-11-02,0.4,1.55442184e-08,1.75394816e-05,309.753174,295.84375,0.360860616,300.797272
2022-11-03,0.0,1.61776885e-08,0.0,310.367371,295.598907,0.36043033,300.496063
2022-11-05,0.0,1.41258765e-08,0.0,308.581055,297.505585,0.359777242,299.625946
2022-11-06,0.0,1.67381025e-08,1.53795227e-05,310.554352,295.334869,0.362373739,300.510895
2022-11-07,2.0,1.30251081e-08,0.000173303895,307.058472,293.647186,0.369155675,299.480377
2022-11-08,1.4,1.20293029e-08,0.000115215167,306.142273,293.790771,0.370996922,298.406677
2022-11-09,10.4,1.18276668e-08,8.22773145e-05,306.111542,293.745758,0.370826364,297.979889
2022-11-10,0.7,1.2462567e-08,2.01163912e-05,306.622467,295.345825,0.369012594,297.964386
2022-11-12,0.1,1.57721676e-08,0.0,308.996002,297.274414,0.366122365,298.860809
2022-11-14,0.0,1.39201779e-08,1.44072203e-08,307.881622,294.735931,0.364590406,298.900909
2022-11-15,2.5,1.20257324e-08,5.11922844e-05,305.724365,293.335114,0.369024366,298.436157
2022-11-16,4.7,1.14807719e-08,0.000135102833,304.990295,293.91098,0.370343655,297.238647
2022-11-17,1.3,1.12499423e-08,4.27537161e-05,304.27829,294.38623,0.368973643,296.991791
2022-11-18,0.6,1.13057084e-08,1.00355692e-06,305.641052,295.488342,0.367459983,297.123688
2022-11-22,3.0,9.06219899e-09,2.90053449e-05,303.261688,294.593781,0.364695102,296.674866
2022-11-24,7.2,9.56901225e-09,0.000137564974,302.865112,291.794189,0.379807204,295.885406
